eventID	eventType	device	device_operation_label	device_operation_subdevices	device_operation_devicetypes	sensor_id	start_date	end_date	start_time	end_time	lat_start	lon_start	lat_end	lon_end	start_depth_m	end_depth_m	eventDate	eventTime	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	footprintWKT
PS149_1-1	station	CTD AWI-OZE (Piglet)	CTD_SBE9plus_287		CTD	9c536cc7-8974-441c-a5d5-5f8ac367f5d4	2025-07-05	2025-07-05	09:01:11	09:29:16	79.4426	9.0517	79.4426	9.0541	126	122.1	2025-07-05	09:01:11/09:29:16	79.4426	  9.0529	24	LINESTRING(9.0517 79.4426, 9.0541 79.4426)
PS149_1-2	station	Hand Net	HN_PS		net	50ce87fc-bae0-46a2-bd54-51f4cc3dda50	2025-07-05	2025-07-05	09:33:47	09:36:44	79.4426	9.0535	79.4425	9.0535	122.1	122.3	2025-07-05	09:33:47/09:36:44	79.4426	  9.0535	6	LINESTRING(9.0535 79.4426, 9.0535 79.4425)
PS149_1-3	station	Multinet Midi 5 Nets 55 ?m	mn_s5_ps_55		net	798f7a48-587d-4257-afa7-5b1c81e7df61	2025-07-05	2025-07-05	09:36:45	10:12:15	79.4425	9.0535	79.4426	9.0550	122.3	122.1	2025-07-05	09:36:45/10:12:15	79.4426	  9.0542	16	LINESTRING(9.0535 79.4425, 9.0550 79.4426)
PS149_10-1	station	Tara Polar Station	tara_polar_station		vessel	bef15cd4-9359-4ed5-93f0-c71a4be80f87	2025-07-06	2025-07-07	11:34:55	20:17:51	82.2518	20.1573	82.6735	20.0982	3746.4	3974.2	2025-07-06T11:34:55Z/2025-07-07T20:17:51Z		82.4626	 20.1277	23476	LINESTRING(20.1573 82.2518, 20.0982 82.6735)
PS149_11-1	station	MetOcean SVP-I-BXGS-AP (FID4076) 2025P343	2025P343		Buoy	5dfd0dd3-15a1-475b-926e-19faa0cd6fdd	2025-07-07	2025-07-07	16:50:20	16:54:00	82.6411	20.1232	82.6416	20.1219	3961.9	3962.2	2025-07-07	16:50:20/16:54:00	82.6413	 20.1226	29	LINESTRING(20.1232 82.6411, 20.1219 82.6416)
PS149_11-2	station	OpenMet Wavebuoy 2025X17	2025X17		Buoy	483c672a-0f8b-486b-bd6a-7524800233e4	2025-07-07	2025-07-07	19:31:11	19:41:21	82.6667	20.0869	82.6684	20.0883	3970.2	3973.4	2025-07-07	19:31:11/19:41:21	82.6676	 20.0876	95	LINESTRING(20.0869 82.6667, 20.0883 82.6684)
PS149_12-1	station	OpenMet Wavebuoy 2025X18	2025X18		Buoy	a8a0ee0b-65e9-43a4-8aa2-cf118e94ddcb	2025-07-07	2025-07-07	20:26:07	20:49:33	82.6750	20.1054	82.6781	20.1108	3974.6	3975.6	2025-07-07	20:26:07/20:49:33	82.6765	 20.1081	177	LINESTRING(20.1054 82.6750, 20.1108 82.6781)
PS149_12-2	station	CTD AWI-OZE (Piglet)	CTD_SBE9plus_287		CTD	9c536cc7-8974-441c-a5d5-5f8ac367f5d4	2025-07-07	2025-07-07	20:50:50	23:12:50	82.6782	20.1112	82.6887	20.1561	3975	3970.5	2025-07-07	20:50:50/23:12:50	82.6834	 20.1336	666	LINESTRING(20.1112 82.6782, 20.1561 82.6887)
PS149_12-3	station	Hand Net	HN_PS		net	50ce87fc-bae0-46a2-bd54-51f4cc3dda50	2025-07-07	2025-07-07	23:27:38	23:33:38	82.6858	20.2034	82.6861	20.2035	3975.2	3976	2025-07-07	23:27:38/23:33:38	82.6859	 20.2034	17	LINESTRING(20.2034 82.6858, 20.2035 82.6861)
PS149_12-4	station	Multinet Midi 5 Nets	MN_S5_PS		net	ce8e77e3-c691-46d0-a10b-add799c10a4d	2025-07-07	2025-07-07	23:34:09	01:39:59	82.6861	20.2038	82.6884	20.2326	3976.2	3974.7	2025-07-07	23:34:09/01:39:59	82.6873	 20.2182	241	LINESTRING(20.2038 82.6861, 20.2326 82.6884)
