eventID	eventType	device	device_operation_label	device_operation_subdevices	device_operation_devicetypes	date_start	date_end	time_start	time_end	lat_start	lon_start	lat_end	lon_end	depth_start_m	depth_end_m
PS149_1-1	station	CTD AWI-OZE (Piglet)	CTD_SBE9plus_287		CTD	2025-07-05	2025-07-05	07:01:11	07:29:16	79.4426	9.0517	79.4426	9.0541	126	122.1
PS149_1-2	station	Hand Net	HN_PS		net	2025-07-05	2025-07-05	07:33:47	07:36:44	79.4426	9.0535	79.4425	9.0535	122.1	122.3
PS149_1-3	station	Multinet Midi 5 Nets 55 ?m	mn_s5_ps_55		net	2025-07-05	2025-07-05	07:36:45	08:12:15	79.4425	9.0535	79.4426	9.0550	122.3	122.1
PS149_10-1	station	Tara Polar Station	tara_polar_station		vessel	2025-07-06	2025-07-07	09:34:55	18:17:51	82.2518	20.1573	82.6735	20.0982	3746.4	3974.2
PS149_11-1	station	MetOcean SVP-I-BXGS-AP (FID4076) 2025P343	2025P343		Buoy	2025-07-07	2025-07-07	14:50:20	14:54:00	82.6411	20.1232	82.6416	20.1219	3961.9	3962.2
PS149_11-2	station	OpenMet Wavebuoy 2025X17	2025X17		Buoy	2025-07-07	2025-07-07	17:31:11	17:41:21	82.6667	20.0869	82.6684	20.0883	3970.2	3973.4
PS149_12-1	station	OpenMet Wavebuoy 2025X18	2025X18		Buoy	2025-07-07	2025-07-07	18:26:07	18:49:33	82.6750	20.1054	82.6781	20.1108	3974.6	3975.6
PS149_12-2	station	CTD AWI-OZE (Piglet)	CTD_SBE9plus_287		CTD	2025-07-07	2025-07-07	18:50:50	21:12:50	82.6782	20.1112	82.6887	20.1561	3975	3970.5
PS149_12-3	station	Hand Net	HN_PS		net	2025-07-07	2025-07-07	21:27:38	21:33:38	82.6858	20.2034	82.6861	20.2035	3975.2	3976
PS149_12-4	station	Multinet Midi 5 Nets	MN_S5_PS		net	2025-07-07	2025-07-07	21:34:09	23:39:59	82.6861	20.2038	82.6884	20.2326	3976.2	3974.7
PS149_13-1	station	Ship-supported ice station	ship_icestation		pack ice	2025-07-09	2025-07-12	06:32:22	18:25:00	83.8045	20.7536	83.8570	24.2523	4073.9	4071.5
PS149_13-10	station	Marine Snow Catcher	MSC_PS		water sampler	2025-07-11	2025-07-11	15:05:45	15:19:05	83.7749	22.5474	83.7750	22.5595	4070.8	4072.2
PS149_13-11	station	CTD AWI-OZE (Piglet)	CTD_SBE9plus_287		CTD	2025-07-11	2025-07-11	15:58:29	16:33:28	83.7754	22.5940	83.7757	22.6216	4071	4071.4
